seq_id	go_terms
PRED|NP_001100961.1	GO:0005615|GO:0010575|GO:0010759|GO:0048246|GO:0050728|GO:0090026
PRED|NP_001102283.2	GO:0005747
PRED|NP_001102613.1	GO:0005886|GO:0016020
PRED|NP_001103119.1	GO:0003735|GO:0005761|GO:0032543
PRED|NP_001103717.1	GO:0001664|GO:0005184|GO:0005576|GO:0007186|GO:0031395
PRED|NP_001104729.1	GO:0005179|GO:0005576|GO:0006182|GO:0007168
PRED|NP_001104825.1	GO:0005179
PRED|NP_001105642.2	GO:0005576|GO:0009664
PRED|NP_001106139.1	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001106374.1	GO:0007267|GO:0019838
PRED|NP_001106395.1	GO:0005179|GO:0005576|GO:0006182|GO:0007168
PRED|NP_001106744.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001106949.1	GO:0004521|GO:0090304
PRED|NP_001107165.1	GO:0000003|GO:0005179|GO:0005183|GO:0005576|GO:0005615|GO:0007275|GO:0031530
PRED|NP_001107550.1	GO:0000003|GO:0005179|GO:0005183|GO:0005576|GO:0005615|GO:0007275|GO:0031530
PRED|NP_001107797.1	GO:0005179
PRED|NP_001107818.1	GO:0005179
PRED|NP_001107975.1	GO:0005179
PRED|NP_001108551.1	GO:0005184|GO:0005576|GO:0005615|GO:0009755|GO:0031779|GO:0032438
PRED|NP_001112373.1	GO:0005213|GO:0007275|GO:0007304|GO:0042600
PRED|NP_001112376.1	GO:0005213|GO:0007275|GO:0007304|GO:0042600
PRED|NP_001112377.1	GO:0005213|GO:0007275|GO:0007304|GO:0042600
PRED|NP_001112378.1	GO:0005213|GO:0007275|GO:0007304|GO:0042600
PRED|NP_001119059.1	GO:0005739|GO:0034551
PRED|NP_001119514.1	GO:0005179|GO:0005576|GO:0048364|GO:1901371|GO:1902025|GO:2000280
PRED|NP_001119600.1	GO:0001935
PRED|NP_001120010.1	GO:0005794|GO:0045879|GO:0060170
PRED|NP_001120728.2	GO:0005789
PRED|NP_001120865.1	GO:0005739|GO:0005753
PRED|NP_001122273.1	GO:0005184|GO:0005576|GO:0005615|GO:0009755|GO:0031779|GO:0032438
PRED|NP_001123180.1	GO:0009986
PRED|NP_001124365.1	GO:0005179
PRED|NP_001128162.1	GO:0008250|GO:0018279
PRED|NP_001128163.1	GO:0008250|GO:0018279
PRED|NP_001128164.1	GO:0008250|GO:0018279
PRED|NP_001128165.1	GO:0008250|GO:0018279
PRED|NP_001128474.1	GO:0005576|GO:0007586|GO:0008047|GO:0016042|GO:0032094
PRED|NP_001129381.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001129382.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001135392.1	GO:0005886|GO:0034109|GO:0072683|GO:2000391
PRED|NP_001136889.1	GO:0000160|GO:0005634|GO:0005737|GO:0009736|GO:0009927|GO:0016310|GO:0043424
PRED|NP_001137634.1	GO:0016020|GO:0016192
PRED|NP_001138048.1	GO:0005739
PRED|NP_001143220.1	GO:2000123
PRED|NP_001144274.1	GO:0005739
PRED|NP_001145016.2	GO:0001709
PRED|NP_001146986.1	GO:0003735|GO:0005840|GO:0006412|GO:0022625
PRED|NP_001147163.2	GO:0009506|GO:0019722
PRED|NP_001147309.2	GO:0046872
PRED|NP_001148389.2	GO:0005886|GO:0009055
PRED|NP_001149097.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001149446.1	GO:0009506|GO:0019722
PRED|NP_001150194.2	GO:0004857|GO:0043086
PRED|NP_001150243.1	GO:0005783|GO:0030968
PRED|NP_001150528.1	GO:0046872
PRED|NP_001150534.2	GO:0005576|GO:0009664
PRED|NP_001150544.2	GO:0080143
PRED|NP_001150599.1	GO:0009506|GO:0019722
PRED|NP_001150677.1	GO:0009506|GO:0019722
PRED|NP_001152007.2	GO:0009506|GO:0019722
PRED|NP_001152303.2	GO:0046872
PRED|NP_001152442.1	GO:0009506|GO:0019722
PRED|NP_001153665.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001154459.1	GO:0008285
PRED|NP_001154969.1	GO:0005739|GO:0033617
PRED|NP_001155870.1	GO:0005742|GO:0030150|GO:1903955
PRED|NP_001156931.1	GO:0006123|GO:0045277
PRED|NP_001157083.1	GO:0005576|GO:0007218|GO:0032230|GO:0045760|GO:0051968
PRED|NP_001157820.1	GO:0005739
PRED|NP_001158051.1	GO:0005794|GO:0045879|GO:0060170
PRED|NP_001158052.1	GO:0005794|GO:0045879|GO:0060170
PRED|NP_001159404.1	GO:0031012|GO:0045667|GO:0048706
PRED|NP_001159497.2	GO:0005179
PRED|NP_001159587.1	GO:0005742
PRED|NP_001159622.2	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001161327.1	GO:0005747
PRED|NP_001161864.1	GO:0006816|GO:0006886|GO:0007186|GO:0008277|GO:0009986|GO:0015026|GO:0015031|GO:0016020|GO:0031623|GO:0032870|GO:0043235|GO:0072659
PRED|NP_001163293.1	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001163294.1	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001165069.1	GO:0005739|GO:0006123|GO:0045277
PRED|NP_001165135.1	GO:0003735|GO:0005840|GO:0006412|GO:0022625
PRED|NP_001165148.1	GO:0002181|GO:0003735|GO:0005840|GO:0006412|GO:0022625
PRED|NP_001165870.1	GO:0001935
PRED|NP_001166644.1	GO:0005615|GO:0031012
PRED|NP_001166647.1	GO:0005615|GO:0031012
PRED|NP_001166650.1	GO:0005615|GO:0031012
PRED|NP_001166651.1	GO:0005615|GO:0031012
PRED|NP_001166652.1	GO:0005615|GO:0031012
PRED|NP_001166653.1	GO:0005615|GO:0031012
PRED|NP_001166654.1	GO:0005615|GO:0031012
PRED|NP_001166656.1	GO:0005615|GO:0031012
PRED|NP_001166722.1	GO:0008010|GO:0062129
PRED|NP_001166776.1	GO:0042302
PRED|NP_001171053.1	GO:0005186|GO:0005615
PRED|NP_001171054.1	GO:0005186|GO:0005615
PRED|NP_001177276.2	GO:0005615|GO:1903575
PRED|NP_001177661.1	GO:0048019|GO:1900118
PRED|NP_001177920.1	GO:0005783
PRED|NP_001178920.1	GO:0001664|GO:0005615|GO:0007186|GO:0048018
PRED|NP_001182417.1	GO:0005739|GO:0033617
PRED|NP_001185813.1	GO:0008250|GO:0018279
PRED|NP_001186609.1	GO:0003735|GO:0005762|GO:0005840|GO:0006412
PRED|NP_001188398.1	GO:0046872
PRED|NP_001188979.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001189240.1	GO:0006814|GO:0015293
PRED|NP_001189306.1	GO:0000340|GO:0003723|GO:0003743|GO:0006413|GO:0016281
PRED|NP_001189307.1	GO:0000340|GO:0003723|GO:0003743|GO:0006413|GO:0016281
PRED|NP_001190011.1	GO:0005576|GO:0008083|GO:0008283
PRED|NP_001190281.1	GO:0006364|GO:0008168
PRED|NP_001191297.1	GO:0004364|GO:0004464|GO:0004602|GO:0005635|GO:0005783|GO:0019370
PRED|NP_001191958.1	GO:0008017|GO:0046600|GO:0060041
PRED|NP_001229274.1	GO:0005184|GO:0005615|GO:0005737|GO:1904306
PRED|NP_001232914.1	GO:0005179|GO:0005184|GO:0007186|GO:0007631|GO:0031861|GO:0043434
PRED|NP_001235077.2	GO:0009506|GO:0019722
PRED|NP_001235091.2	GO:0005179|GO:0005576|GO:0048364|GO:1901371|GO:1902025|GO:2000280
PRED|NP_001235375.1	GO:0005886|GO:0009055
PRED|NP_001235444.1	GO:0009506|GO:0019722
PRED|NP_001235584.1	GO:0042543
PRED|NP_001236413.2	GO:0045087|GO:0050793
PRED|NP_001236550.2	GO:0005576|GO:0009664
PRED|NP_001237097.2	GO:0009506|GO:0019722
PRED|NP_001237170.1	GO:0005886|GO:0009055
PRED|NP_001237432.1	GO:0005737|GO:0019005|GO:0031146
PRED|NP_001237531.1	GO:0005886|GO:0009055
PRED|NP_001238053.1	GO:0005576|GO:0009664
PRED|NP_001238143.1	GO:0005789|GO:0005794|GO:0006816|GO:0032469
PRED|NP_001238845.1	GO:0005186|GO:0005615
PRED|NP_001239239.1	GO:0001664|GO:0005615|GO:0007186|GO:0048018
PRED|NP_001239302.1	GO:0000139|GO:0005789|GO:0006888|GO:0030134
PRED|NP_001239699.1	GO:0005783|GO:0005794|GO:0009723|GO:0010104
PRED|NP_001239759.1	GO:0045087|GO:0050793
PRED|NP_001240136.1	GO:0005576|GO:0009664
PRED|NP_001241098.1	GO:0080143
PRED|NP_001241931.2	GO:0005576|GO:0009664
PRED|NP_001242219.2	GO:0005576|GO:0009664
PRED|NP_001242540.2	GO:0005576|GO:0008083|GO:0008283
PRED|NP_001242744.2	GO:0003723|GO:0003735|GO:0022625
PRED|NP_001242924.1	GO:0005929|GO:0030991|GO:0035721
PRED|NP_001242978.1	GO:0005576|GO:0009664
PRED|NP_001242979.1	GO:0005186|GO:0005615
PRED|NP_001243517.1	GO:0016020|GO:0030001|GO:0046873|GO:0055085
PRED|NP_001244164.1	GO:0006488
PRED|NP_001244168.1	GO:0006488
PRED|NP_001244169.1	GO:0006488
PRED|NP_001246643.1	GO:0008010|GO:0062129
PRED|NP_001246794.1	GO:0005743|GO:0006122
PRED|NP_001248376.2	GO:0005886|GO:0016020|GO:0030175|GO:0031175|GO:0043025|GO:0044295
PRED|NP_001251149.1	GO:0005737|GO:0015267
PRED|NP_001252300.1	GO:0045087
PRED|NP_001252301.1	GO:0045087
PRED|NP_001254628.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001254710.1	GO:0005615
PRED|NP_001254820.1	GO:0007217|GO:0045777
PRED|NP_001255092.1	GO:0008168
PRED|NP_001255763.1	GO:0002181|GO:0003735|GO:0005840|GO:0006412|GO:0022625
PRED|NP_001256514.1	GO:0009986
PRED|NP_001256745.2	GO:0005615
PRED|NP_001256746.2	GO:0005615
PRED|NP_001256812.1	GO:0009986
PRED|NP_001256814.1	GO:0009986
PRED|NP_001257068.1	GO:0005184
PRED|NP_001257467.1	GO:0005509|GO:0005516|GO:0005737
PRED|NP_001257470.1	GO:0005615
PRED|NP_001257472.1	GO:0005496|GO:0005576
PRED|NP_001257752.1	GO:0005615|GO:0031012
PRED|NP_001258220.1	GO:0005184|GO:0005576|GO:0005615|GO:0007218|GO:0008343|GO:0009755|GO:0031779|GO:0070996|GO:2000253
PRED|NP_001258702.1	GO:0042127
PRED|NP_001262562.1	GO:0006952
PRED|NP_001262668.1	GO:0007218|GO:0008255|GO:0018990
PRED|NP_001263078.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001263279.1	GO:0006357|GO:0035267
PRED|NP_001263915.1	GO:0005615
PRED|NP_001264663.1	GO:0005737|GO:0005868|GO:0007018|GO:0045505
PRED|NP_001264778.1	GO:0005829|GO:0032991
PRED|NP_001264895.3	GO:0005200|GO:0005882
PRED|NP_001266663.1	GO:0005886|GO:0009055
PRED|NP_001267535.1	GO:0005576|GO:0009664
PRED|NP_001267986.1	GO:0005375|GO:0005886|GO:0016020|GO:0035434
PRED|NP_001268729.2	GO:0005576|GO:0005615|GO:0007275|GO:0030178|GO:0039706|GO:0048019|GO:0090090
PRED|NP_001268759.1	GO:0001836|GO:0016020|GO:0031966|GO:0097193
PRED|NP_001273335.1	GO:0001696|GO:0005179|GO:0005576|GO:0005615|GO:0016608|GO:0031768|GO:0032095|GO:0050728|GO:0060124
PRED|NP_001276572.1	GO:0005615
PRED|NP_001276573.1	GO:0005615
PRED|NP_001279269.1	GO:0005576|GO:0030250
PRED|NP_001279275.1	GO:0005576|GO:0030250
PRED|NP_001279281.1	GO:0005576|GO:0030250
PRED|NP_001279532.1	GO:0042127
PRED|NP_001280249.1	GO:0005730|GO:0042254
PRED|NP_001280525.1	GO:0005615|GO:0031012
PRED|NP_001284476.1	GO:0007507|GO:0031704|GO:0060183
PRED|NP_001284479.1	GO:0007507|GO:0031704|GO:0060183
PRED|NP_001284483.1	GO:0007507|GO:0031704|GO:0060183
PRED|NP_001285450.1	GO:0006605|GO:0006886|GO:0008320|GO:0015031|GO:0016020
PRED|NP_001285451.1	GO:0006605|GO:0006886|GO:0008320|GO:0015031|GO:0016020
PRED|NP_001286186.1	GO:0005549|GO:0005615|GO:0007608
PRED|NP_001286569.1	GO:0006952
PRED|NP_001286845.1	GO:0005184|GO:0005576|GO:0007623
PRED|NP_001287425.1	GO:0046872
PRED|NP_001287426.1	GO:0046872
PRED|NP_001289026.1	GO:0001836|GO:0006915|GO:0006974|GO:0043065
PRED|NP_001289044.1	GO:0005747
PRED|NP_001289095.1	GO:0000139|GO:0005789|GO:0006888|GO:0030134
PRED|NP_001289107.1	GO:0005794|GO:0044306
PRED|NP_001289114.1	GO:0005739|GO:0033617
PRED|NP_001289436.1	GO:0003735|GO:0005762|GO:0005840|GO:0006412
PRED|NP_001289672.1	GO:0008250|GO:0018279
PRED|NP_001289675.1	GO:0005164|GO:0006915
PRED|NP_001289735.1	GO:0000930|GO:0000931|GO:0005813|GO:0005819|GO:0031021|GO:0033566|GO:0051415|GO:0090307
PRED|NP_001289985.1	GO:0005742
PRED|NP_001290058.1	GO:0005753|GO:0042776|GO:0046933
PRED|NP_001292268.1	GO:0002020|GO:0005615|GO:0008191|GO:0010033|GO:0010951|GO:0031012|GO:0051045
PRED|NP_001292377.1	GO:0001649|GO:0005509|GO:0005576|GO:0008147|GO:0032571|GO:0046848|GO:0060348|GO:1900076
PRED|NP_001292378.1	GO:0001649|GO:0005509|GO:0005576|GO:0008147|GO:0032571|GO:0046848|GO:0060348|GO:1900076
PRED|NP_001292379.1	GO:0001649|GO:0005509|GO:0005576|GO:0008147|GO:0032571|GO:0046848|GO:0060348|GO:1900076
PRED|NP_001292670.1	GO:0005576|GO:0009664
PRED|NP_001293401.1	GO:0005515
PRED|NP_001294228.1	GO:0005615
PRED|NP_001295179.1	GO:0007507|GO:0031704|GO:0060183
PRED|NP_001295860.1	GO:0005576|GO:0009664
PRED|NP_001297149.1	GO:0000003|GO:0005179|GO:0005183|GO:0005576|GO:0005615|GO:0007275|GO:0031530
PRED|NP_001297544.1	GO:0005615
PRED|NP_001298137.1	GO:0031012|GO:0045667|GO:0048706
PRED|NP_001299907.1	GO:0007623
PRED|NP_001300441.1	GO:0005179|GO:0005576|GO:0005615|GO:0006874
PRED|NP_001300651.1	GO:0006888
PRED|NP_001300817.1	GO:0005139|GO:0005576|GO:0006955|GO:0008083
PRED|NP_001300818.1	GO:0005139|GO:0005576|GO:0006955|GO:0008083
PRED|NP_001300819.1	GO:0005139|GO:0005576|GO:0006955|GO:0008083
PRED|NP_001303592.1	GO:0007283|GO:0035092
PRED|NP_001303740.1	GO:0016020
PRED|NP_001303768.1	GO:0016020
PRED|NP_001303783.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001304345.2	GO:0005576|GO:0009664
PRED|NP_001304746.1	GO:0005886
PRED|NP_001304747.1	GO:0005886
PRED|NP_001305414.1	GO:0003735|GO:0005840|GO:0006412|GO:0019843
PRED|NP_001308176.1	GO:0030659|GO:0031090
PRED|NP_001308412.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001308413.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001308414.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001311220.1	GO:0006488
PRED|NP_001311223.1	GO:0006488
PRED|NP_001313392.1	GO:0005743|GO:0045271
PRED|NP_001313620.1	GO:0005783|GO:0030968
PRED|NP_001315002.1	GO:0005085|GO:0005737|GO:0005764|GO:0043066|GO:0071230|GO:0071986|GO:1904263
PRED|NP_001315565.1	GO:0005739|GO:0033617
PRED|NP_001316526.1	GO:0005794|GO:0044306
PRED|NP_001316684.1	GO:0005737
PRED|NP_001316686.1	GO:0005737
PRED|NP_001316687.1	GO:0005737
PRED|NP_001317072.1	GO:0005886|GO:0016020
PRED|NP_001318123.1	GO:0005739|GO:0034551
PRED|NP_001318356.1	GO:0010087|GO:0010089|GO:0033612|GO:0048046
PRED|NP_001318371.1	GO:0000139|GO:0005789|GO:0006888|GO:0030134
PRED|NP_001318529.1	GO:0006364|GO:0008168
PRED|NP_001318779.1	GO:0072546
PRED|NP_001319356.1	GO:0005576|GO:0009664
PRED|NP_001319480.1	GO:0009506|GO:0019722
PRED|NP_001319570.1	GO:0009506|GO:0019722
PRED|NP_001319626.1	GO:0008285
PRED|NP_001319758.1	GO:0008285
PRED|NP_001319822.1	GO:0008320|GO:0030943|GO:0042721|GO:0045039
PRED|NP_001320144.1	GO:0005886
PRED|NP_001320444.1	GO:0006487|GO:0008250|GO:0016020
PRED|NP_001320681.1	GO:0008270
PRED|NP_001320974.1	GO:0005576|GO:0009664
PRED|NP_001322091.1	GO:0003735|GO:0006412|GO:0032543
PRED|NP_001323508.1	GO:0005747|GO:0032981
PRED|NP_001323801.1	GO:0016020
PRED|NP_001324717.1	GO:0005576|GO:0009664
PRED|NP_001325456.1	GO:0005768|GO:0032511
PRED|NP_001325884.1	GO:0005741|GO:0008308|GO:0055085|GO:0098656
PRED|NP_001327214.1	GO:0009506|GO:0019722
PRED|NP_001327215.1	GO:0009506|GO:0019722
PRED|NP_001328050.1	GO:0000398|GO:0005686|GO:0071011
PRED|NP_001331125.1	GO:0005746|GO:0033617
PRED|NP_001332569.1	GO:0005576|GO:0009664
PRED|NP_001333588.1	GO:0005743|GO:0045271
PRED|NP_001334328.1	GO:0002367|GO:0030593|GO:0032602|GO:0070945
PRED|NP_001338304.1	GO:0002181|GO:0003735|GO:0005840|GO:0006412|GO:0008270|GO:0022627
PRED|NP_001338764.1	GO:0004674
PRED|NP_001338765.1	GO:0004674
PRED|NP_001339261.1	GO:0005615|GO:1903575
PRED|NP_001340765.1	GO:0009877
PRED|NP_001341387.1	GO:0006644|GO:0008195|GO:0016020|GO:0046839
PRED|NP_001341388.1	GO:0006644|GO:0008195|GO:0016020|GO:0046839
PRED|NP_001343132.1	GO:0005743|GO:0033617
PRED|NP_001343171.1	GO:0005787|GO:0006465|GO:0016020|GO:0045047
PRED|NP_001344819.1	GO:0016020|GO:0016192
PRED|NP_001347044.2	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001347047.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001347048.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001347054.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001347057.1	GO:0000028|GO:0003723|GO:0003735|GO:0005840|GO:0006412|GO:0022627
PRED|NP_001349393.1	GO:0008080
PRED|NP_001350965.1	GO:0008285
PRED|NP_001351295.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001351534.1	GO:0006952
PRED|NP_001351591.1	GO:0006952
PRED|NP_001352026.1	GO:0008285
PRED|NP_001353288.1	GO:0012505|GO:0016020
PRED|NP_001353291.1	GO:0012505|GO:0016020
PRED|NP_001354275.1	GO:0005576|GO:0009664
PRED|NP_001355115.1	GO:0009506|GO:0019722
PRED|NP_001355181.1	GO:0016020
PRED|NP_001355292.1	GO:0005737
PRED|NP_001355944.1	GO:0005184|GO:0005615|GO:0005737|GO:1904306
PRED|NP_001356681.1	GO:0008380|GO:0030532
PRED|NP_001357818.1	GO:0008250|GO:0018279
PRED|NP_001358501.1	GO:0005789|GO:0005794|GO:0006816|GO:0032469
PRED|NP_001363792.1	GO:0016471|GO:0046961|GO:1902600
PRED|NP_001364945.1	GO:0003723|GO:0003735|GO:0022625
PRED|NP_001365339.1	GO:0005615|GO:0030521
PRED|NP_001367095.1	GO:0008250|GO:0018279
PRED|NP_001370602.1	GO:0016020
PRED|NP_001370939.1	GO:0003735|GO:0005840|GO:0006412
PRED|NP_001372147.1	GO:0005184|GO:0005576|GO:0005615|GO:0009755|GO:0031779|GO:0032438
PRED|NP_001373151.1	GO:0005179|GO:0005576|GO:0005615|GO:0030334
PRED|NP_001373245.1	GO:0005739|GO:0006123|GO:0045277
PRED|NP_001373671.1	GO:0007605
PRED|NP_001374363.1	GO:0006355
PRED|NP_001379193.1	GO:0005783|GO:0030968
PRED|NP_001379408.1	GO:0000139|GO:0005789|GO:0006888|GO:0030134
PRED|NP_001379514.1	GO:0045087
PRED|NP_001379800.1	GO:0015918|GO:0032934
PRED|NP_001379923.1	GO:0016020
PRED|NP_001379956.1	GO:0016020|GO:0016192
PRED|NP_001380031.1	GO:0005743|GO:0015986|GO:0042776|GO:0045259|GO:0046933
PRED|NP_001381889.1	GO:0005751
PRED|NP_001381890.1	GO:0005751
PRED|NP_001382153.1	GO:0000122|GO:0003714|GO:0005634
PRED|NP_001384497.1	GO:0009506|GO:0019722
PRED|NP_001384880.1	GO:0046872
PRED|NP_001385414.1	GO:0005768|GO:0032511
PRED|NP_001385415.1	GO:0005768|GO:0032511
PRED|NP_001385416.1	GO:0005768|GO:0032511
PRED|NP_001385417.1	GO:0005768|GO:0032511
