rep	cluster_size	sources_rep	sources_members	members	has_DATABASE	has_PRED
DATABASE|AP00295	1	DATABASE	DATABASE	DATABASE|AP00295	True	False
DATABASE|AP00303	1	DATABASE	DATABASE	DATABASE|AP00303	True	False
DATABASE|AP00306	2	DATABASE	DATABASE	DATABASE|AP00306;DATABASE|AP00305	True	False
DATABASE|AP00313	26	DATABASE	DATABASE	DATABASE|AP00313;DATABASE|AP03590;DATABASE|AP03591;DATABASE|AP03592;DATABASE|AP03593;DATABASE|DBAASPR_20869_Cryptdin_15_Crp15;DATABASE|AP03594;DATABASE|DBAASPR_20871_Cryptdin_14_Crp14;DATABASE|AP03595;DATABASE|CAMPSQ847_Defensin-relatedcryptdin-612;DATABASE|DBAASPR_20888_Cryptdin_10_Crp10;DATABASE|AP00137;DATABASE|AP03596;DATABASE|AP00138;DATABASE|AP03597;DATABASE|AP03598;DATABASE|AP03599;DATABASE|AP01608;DATABASE|AP00312;DATABASE|AP01141;DATABASE|AP00916;DATABASE|CAMPSQ75_Defensin-1precursor;DATABASE|AP03589;DATABASE|AP00874;DATABASE|AP00285;DATABASE|DBAASPR_4889_Alpha-defensin_4_Cryptdin-4	True	False
DATABASE|AP00316	6	DATABASE	DATABASE	DATABASE|AP00316;DATABASE|AP00317;DATABASE|AP00319;DATABASE|AP00318;DATABASE|AP00320;DATABASE|AP00321	True	False
DATABASE|AP00322	1	DATABASE	DATABASE	DATABASE|AP00322	True	False
DATABASE|AP00323	1	DATABASE	DATABASE	DATABASE|AP00323	True	False
DATABASE|AP00324	1	DATABASE	DATABASE	DATABASE|AP00324	True	False
DATABASE|AP00326	1	DATABASE	DATABASE	DATABASE|AP00326	True	False
DATABASE|AP00327	1	DATABASE	DATABASE	DATABASE|AP00327	True	False
DATABASE|AP00351	3	DATABASE	DATABASE	DATABASE|AP00351;DATABASE|AP00352;DATABASE|AP00353	True	False
DATABASE|AP00357	1	DATABASE	DATABASE	DATABASE|AP00357	True	False
DATABASE|AP00358	1	DATABASE	DATABASE	DATABASE|AP00358	True	False
DATABASE|AP00365	4	DATABASE	DATABASE	DATABASE|AP00365;DATABASE|AP00363;DATABASE|AP00362;DATABASE|AP00364	True	False
DATABASE|AP00366	3	DATABASE	DATABASE	DATABASE|AP00366;DATABASE|CAMPSQ10488_BMAP-27;DATABASE|CAMPSQ114_MyeloidantimicrobialpeptideBMAP-27	True	False
DATABASE|AP00367	8	DATABASE	DATABASE	DATABASE|AP00367;DATABASE|CAMPSQ10489_BMAP-28;DATABASE|CAMPSQ115_MyeloidantimicrobialpeptideBMAP-28;DATABASE|CAMPSQ14401_S62;DATABASE|CAMPSQ12021_BMAP28;DATABASE|CAMPSQ14402_S63;DATABASE|CAMPSQ14400_S61;DATABASE|CAMPSQ679_MBMAP28	True	False
DATABASE|AP00369	1	DATABASE	DATABASE	DATABASE|AP00369	True	False
DATABASE|AP00370	5	DATABASE	DATABASE	DATABASE|AP00370;DATABASE|CAMPSQ198_AntibacterialpeptidePMAP-36;DATABASE|CAMPSQ10811_PMAP-36;DATABASE|CAMPSQ10812_PMAP-36;DATABASE|CAMPSQ10813_PMAP-36	True	False
DATABASE|AP00371	3	DATABASE	DATABASE	DATABASE|AP00371;DATABASE|CAMPSQ15201_SMAP34;DATABASE|AP00680	True	False
DATABASE|AP00382	2	DATABASE	DATABASE	DATABASE|AP00382;DATABASE|AP00381	True	False
DATABASE|AP00388	2	DATABASE	DATABASE	DATABASE|AP00388;DATABASE|AP00389	True	False
DATABASE|AP00397	2	DATABASE	DATABASE	DATABASE|AP00397;DATABASE|AP00398	True	False
DATABASE|AP00399	2	DATABASE	DATABASE	DATABASE|AP00399;DATABASE|CAMPSQ4592_SpingerinC-4	True	False
DATABASE|AP00405	1	DATABASE	DATABASE	DATABASE|AP00405	True	False
DATABASE|AP00408	1	DATABASE	DATABASE	DATABASE|AP00408	True	False
DATABASE|AP00409	1	DATABASE	DATABASE	DATABASE|AP00409	True	False
DATABASE|AP00427	1	DATABASE	DATABASE	DATABASE|AP00427	True	False
DATABASE|AP00435	5	DATABASE	DATABASE	DATABASE|AP00435;DATABASE|sp|P81470|STYB_STYCL_Styelin-B_(Fragment)_OS=Styela_clava_OX=7725_PE=1_SV=1;DATABASE|AP00328;DATABASE|AP00329;DATABASE|CAMPSQ395_Styelin-A	True	False
DATABASE|AP00446	1	DATABASE	DATABASE	DATABASE|AP00446	True	False
DATABASE|AP00447	1	DATABASE	DATABASE	DATABASE|AP00447	True	False
DATABASE|AP00450	1	DATABASE	DATABASE	DATABASE|AP00450	True	False
DATABASE|AP00459	1	DATABASE	DATABASE	DATABASE|AP00459	True	False
DATABASE|AP00475	10	DATABASE	DATABASE	DATABASE|AP00475;DATABASE|AP00476;DATABASE|CAMPSQ11807_Ps-K18;DATABASE|AP00477;DATABASE|AP00478;DATABASE|CAMPSQ8749_PseudinB;DATABASE|CAMPSQ11809_Ps-P;DATABASE|CAMPSQ11810_Ps-K18-P;DATABASE|CAMPSQ11811_Ps-K18-P;DATABASE|CAMPSQ11808_Ps-K14-K18	True	False
DATABASE|AP00492	1	DATABASE	DATABASE	DATABASE|AP00492	True	False
DATABASE|AP00493	1	DATABASE	DATABASE	DATABASE|AP00493	True	False
DATABASE|AP00497	2	DATABASE	DATABASE	DATABASE|AP00497;DATABASE|CAMPSQ11035_MaximinH37	True	False
DATABASE|AP00499	3	DATABASE	DATABASE	DATABASE|AP00499;DATABASE|AP01224;DATABASE|AP01225	True	False
DATABASE|AP00509	1	DATABASE	DATABASE	DATABASE|AP00509	True	False
DATABASE|AP00510	1	DATABASE	DATABASE	DATABASE|AP00510	True	False
DATABASE|AP00511	1	DATABASE	DATABASE	DATABASE|AP00511	True	False
DATABASE|AP00521	1	DATABASE	DATABASE	DATABASE|AP00521	True	False
DATABASE|AP00522	1	DATABASE	DATABASE	DATABASE|AP00522	True	False
DATABASE|AP00530	1	DATABASE	DATABASE	DATABASE|AP00530	True	False
DATABASE|AP00531	1	DATABASE	DATABASE	DATABASE|AP00531	True	False
DATABASE|AP00533	10	DATABASE	DATABASE	DATABASE|AP00533;DATABASE|AP01401;DATABASE|sp|P86711|OCE1_LEPKN_Ocellatin-K1_OS=Leptodactylus_knudseni_OX=326593_PE=1_SV=1;DATABASE|CAMPSQ11210_Ocellatin-LB2;DATABASE|AP01409;DATABASE|AP02971;DATABASE|CAMPSQ9999_SPX;DATABASE|DBAASPR_14618_Ocellatin-L2;DATABASE|CAMPSQ9998_SPX;DATABASE|AP00540	True	False
DATABASE|AP00537	1	DATABASE	DATABASE	DATABASE|AP00537	True	False
DATABASE|AP00541	2	DATABASE	DATABASE	DATABASE|AP00541;DATABASE|CAMPSQ9770_Asn-2-Polybia-MP	True	False
DATABASE|AP00542	1	DATABASE	DATABASE	DATABASE|AP00542	True	False
DATABASE|AP00544	3	DATABASE	DATABASE	DATABASE|AP00544;DATABASE|sp|P83866|OCE2_LEPOE_Ocellatin-2_OS=Leptodactylus_ocellatus_OX=928525_PE=1_SV=2;DATABASE|AP00545	True	False
DATABASE|AP00553	1	DATABASE	DATABASE	DATABASE|AP00553	True	False
DATABASE|AP00555	1	DATABASE	DATABASE	DATABASE|AP00555	True	False
DATABASE|AP00556	2	DATABASE	DATABASE	DATABASE|AP00556;DATABASE|CAMPSQ20677_Kassinatuerin-2	True	False
DATABASE|AP00559	1	DATABASE	DATABASE	DATABASE|AP00559	True	False
DATABASE|AP00560	1	DATABASE	DATABASE	DATABASE|AP00560	True	False
DATABASE|AP00564	2	DATABASE	DATABASE	DATABASE|AP00564;DATABASE|AP00565	True	False
DATABASE|AP00567	1	DATABASE	DATABASE	DATABASE|AP00567	True	False
DATABASE|AP00569	1	DATABASE	DATABASE	DATABASE|AP00569	True	False
DATABASE|AP00584	1	DATABASE	DATABASE	DATABASE|AP00584	True	False
DATABASE|AP00586	1	DATABASE	DATABASE	DATABASE|AP00586	True	False
DATABASE|AP00589	1	DATABASE	DATABASE	DATABASE|AP00589	True	False
DATABASE|AP00591	1	DATABASE	DATABASE	DATABASE|AP00591	True	False
DATABASE|AP00596	1	DATABASE	DATABASE	DATABASE|AP00596	True	False
DATABASE|AP00598	1	DATABASE	DATABASE	DATABASE|AP00598	True	False
DATABASE|AP00599	2	DATABASE	DATABASE	DATABASE|AP00599;DATABASE|CAMPSQ10973_Brevinin-2Va	True	False
DATABASE|AP00600	4	DATABASE	DATABASE	DATABASE|AP00600;DATABASE|CAMPSQ3156_Odorranain-W1;DATABASE|AP01309;DATABASE|CAMPSQ716_OdW1	True	False
DATABASE|AP00601	7	DATABASE	DATABASE	DATABASE|AP00601;DATABASE|AP03042;DATABASE|CAMPSQ9871_Amurin-2a;DATABASE|AP00602;DATABASE|AP00603;DATABASE|CAMPSQ2578_Brevinin-1CDYa;DATABASE|AP01453	True	False
DATABASE|AP00605	1	DATABASE	DATABASE	DATABASE|AP00605	True	False
DATABASE|AP00611	1	DATABASE	DATABASE	DATABASE|AP00611	True	False
DATABASE|AP00613	11	DATABASE	DATABASE	DATABASE|AP00613;DATABASE|CAMPSQ10875_Fow-3;DATABASE|CAMPSQ10874_Fow-3;DATABASE|CAMPSQ10873_Fow-3;DATABASE|AP01750;DATABASE|AP01643;DATABASE|AP00557;DATABASE|CAMPSQ10255_Fowl-1;DATABASE|CAMPSQ10256_Fowl-1;DATABASE|CAMPSQ10257_Fowl-1;DATABASE|CAMPSQ10258_Fowl-1	True	False
DATABASE|AP00614	4	DATABASE	DATABASE	DATABASE|AP00614;DATABASE|AP00615;DATABASE|AP00616;DATABASE|AP00617	True	False
DATABASE|AP00621	3	DATABASE	DATABASE	DATABASE|AP00621;DATABASE|AP01271;DATABASE|AP00622	True	False
DATABASE|AP00639	14	DATABASE	DATABASE	DATABASE|AP00639;DATABASE|AP00638;DATABASE|AP02005;DATABASE|AP02009;DATABASE|DBAASPR_4085_Splendipherin;DATABASE|AP00249;DATABASE|AP00250;DATABASE|AP00251;DATABASE|AP02008;DATABASE|sp|P56237|CR25_RANGI_Caerin-2.5_OS=Ranoidea_gilleni_OX=39405_PE=1_SV=1;DATABASE|AP00704;DATABASE|AP00703;DATABASE|AP00705;DATABASE|AP00706	True	False
DATABASE|AP00641	5	DATABASE	DATABASE	DATABASE|AP00641;DATABASE|AP00642;DATABASE|AP00643;DATABASE|AP00644;DATABASE|AP00645	True	False
DATABASE|AP00658	1	DATABASE	DATABASE	DATABASE|AP00658	True	False
DATABASE|AP00664	1	DATABASE	DATABASE	DATABASE|AP00664	True	False
DATABASE|AP00665	1	DATABASE	DATABASE	DATABASE|AP00665	True	False
DATABASE|AP00666	1	DATABASE	DATABASE	DATABASE|AP00666	True	False
DATABASE|AP00667	2	DATABASE	DATABASE	DATABASE|AP00667;DATABASE|AP00669	True	False
DATABASE|AP00668	1	DATABASE	DATABASE	DATABASE|AP00668	True	False
DATABASE|AP00670	2	DATABASE	DATABASE	DATABASE|AP00670;DATABASE|AP00671	True	False
DATABASE|AP00682	2	DATABASE	DATABASE	DATABASE|AP00682;DATABASE|AP01288	True	False
DATABASE|AP00684	11	DATABASE	DATABASE	DATABASE|AP00684;DATABASE|AP03615;DATABASE|AP02221;DATABASE|AP00010;DATABASE|CAMPSQ62_Bactenecin-7precursor;DATABASE|CAMPSQ16248_Bac7;DATABASE|CAMPSQ15129_Bac7;DATABASE|CAMPSQ21176_Cathelicidin-3Bactenecin-7Bac7PR-59;DATABASE|AP05522;DATABASE|AP05523;DATABASE|CAMPSQ16249_Bac7PS	True	False
DATABASE|AP00686	1	DATABASE	DATABASE	DATABASE|AP00686	True	False
DATABASE|AP00687	1	DATABASE	DATABASE	DATABASE|AP00687	True	False
DATABASE|AP00688	1	DATABASE	DATABASE	DATABASE|AP00688	True	False
DATABASE|AP00689	2	DATABASE	DATABASE	DATABASE|AP00689;DATABASE|AP00690	True	False
DATABASE|AP00695	1	DATABASE	DATABASE	DATABASE|AP00695	True	False
DATABASE|AP00696	1	DATABASE	DATABASE	DATABASE|AP00696	True	False
DATABASE|AP00697	1	DATABASE	DATABASE	DATABASE|AP00697	True	False
DATABASE|AP00698	3	DATABASE	DATABASE	DATABASE|AP00698;DATABASE|AP00699;DATABASE|AP00700	True	False
DATABASE|AP00702	2	DATABASE	DATABASE	DATABASE|AP00702;DATABASE|AP00701	True	False
DATABASE|AP00722	1	DATABASE	DATABASE	DATABASE|AP00722	True	False
DATABASE|AP00723	1	DATABASE	DATABASE	DATABASE|AP00723	True	False
DATABASE|AP00724	1	DATABASE	DATABASE	DATABASE|AP00724	True	False
DATABASE|AP00726	1	DATABASE	DATABASE	DATABASE|AP00726	True	False
DATABASE|AP00737	2	DATABASE	DATABASE	DATABASE|AP00737;DATABASE|AP00938	True	False
DATABASE|AP00748	1	DATABASE	DATABASE	DATABASE|AP00748	True	False
DATABASE|AP00750	1	DATABASE	DATABASE	DATABASE|AP00750	True	False
DATABASE|AP00764	1	DATABASE	DATABASE	DATABASE|AP00764	True	False
DATABASE|AP00765	1	DATABASE	DATABASE	DATABASE|AP00765	True	False
DATABASE|AP00769	13	DATABASE	DATABASE	DATABASE|AP00769;DATABASE|AP00243;DATABASE|AP00246;DATABASE|CAMPSQ718_Caerin-17;DATABASE|AP00247;DATABASE|AP01653;DATABASE|AP01654;DATABASE|DBAASPR_4225_Caerin-1.8;DATABASE|AP01697;DATABASE|CAMPSQ235_Maculatin-12;DATABASE|CAMPSQ3141_Maculatin111;DATABASE|DBAASPR_3898_Maculatin_1.1.1;DATABASE|AP00260	True	False
DATABASE|AP00770	2	DATABASE	DATABASE	DATABASE|AP00770;DATABASE|AP00640	True	False
DATABASE|AP00779	2	DATABASE	DATABASE	DATABASE|AP00779;DATABASE|AP00778	True	False
DATABASE|AP00782	1	DATABASE	DATABASE	DATABASE|AP00782	True	False
DATABASE|AP00786	1	DATABASE	DATABASE	DATABASE|AP00786	True	False
DATABASE|AP00804	15	DATABASE	DATABASE	DATABASE|AP00804;DATABASE|CAMPSQ2892_BTD-3;DATABASE|AP00445;DATABASE|CAMPSQ3414_PhTD1;DATABASE|AP00151;DATABASE|AP00725;DATABASE|AP00856;DATABASE|AP01673;DATABASE|AP01674;DATABASE|AP00855;DATABASE|AP03193;DATABASE|AP03195;DATABASE|CAMPSQ2917_BTD-4;DATABASE|AP03194;DATABASE|AP03196	True	False
DATABASE|AP00814	3	DATABASE	DATABASE	DATABASE|AP00814;DATABASE|AP00815;DATABASE|AP00816	True	False
DATABASE|AP00817	1	DATABASE	DATABASE	DATABASE|AP00817	True	False
DATABASE|AP00818	1	DATABASE	DATABASE	DATABASE|AP00818	True	False
DATABASE|AP00819	1	DATABASE	DATABASE	DATABASE|AP00819	True	False
DATABASE|AP00820	1	DATABASE	DATABASE	DATABASE|AP00820	True	False
DATABASE|AP00823	1	DATABASE	DATABASE	DATABASE|AP00823	True	False
DATABASE|AP00824	2	DATABASE	DATABASE	DATABASE|AP00824;DATABASE|AP00825	True	False
DATABASE|AP00826	1	DATABASE	DATABASE	DATABASE|AP00826	True	False
DATABASE|AP00832	5	DATABASE	DATABASE	DATABASE|AP00832;DATABASE|CAMPSQ11033_MaximinH23;DATABASE|DBAASPR_4169_Maximin_H52;DATABASE|AP00527;DATABASE|AP01744	True	False
DATABASE|AP00833	1	DATABASE	DATABASE	DATABASE|AP00833	True	False
DATABASE|AP00858	1	DATABASE	DATABASE	DATABASE|AP00858	True	False
DATABASE|AP00859	1	DATABASE	DATABASE	DATABASE|AP00859	True	False
DATABASE|AP00863	3	DATABASE	DATABASE	DATABASE|AP00863;DATABASE|AP01931;DATABASE|AP01935	True	False
DATABASE|AP00864	1	DATABASE	DATABASE	DATABASE|AP00864	True	False
DATABASE|AP00866	1	DATABASE	DATABASE	DATABASE|AP00866	True	False
DATABASE|AP00867	1	DATABASE	DATABASE	DATABASE|AP00867	True	False
DATABASE|AP00868	1	DATABASE	DATABASE	DATABASE|AP00868	True	False
DATABASE|AP00869	1	DATABASE	DATABASE	DATABASE|AP00869	True	False
DATABASE|AP00871	1	DATABASE	DATABASE	DATABASE|AP00871	True	False
DATABASE|AP00872	1	DATABASE	DATABASE	DATABASE|AP00872	True	False
DATABASE|AP00873	1	DATABASE	DATABASE	DATABASE|AP00873	True	False
DATABASE|AP00875	1	DATABASE	DATABASE	DATABASE|AP00875	True	False
DATABASE|AP00876	1	DATABASE	DATABASE	DATABASE|AP00876	True	False
DATABASE|AP00877	1	DATABASE	DATABASE	DATABASE|AP00877	True	False
DATABASE|AP00889	1	DATABASE	DATABASE	DATABASE|AP00889	True	False
DATABASE|AP00890	2	DATABASE	DATABASE	DATABASE|AP00890;DATABASE|CAMPSQ24389_M-myrmeciitoxin-Mp2a	True	False
DATABASE|AP00892	2	DATABASE	DATABASE	DATABASE|AP00892;DATABASE|CAMPSQ496_Pilosulin4	True	False
DATABASE|AP00893	1	DATABASE	DATABASE	DATABASE|AP00893	True	False
DATABASE|AP00894	1	DATABASE	DATABASE	DATABASE|AP00894	True	False
DATABASE|AP00898	1	DATABASE	DATABASE	DATABASE|AP00898	True	False
DATABASE|AP00899	1	DATABASE	DATABASE	DATABASE|AP00899	True	False
DATABASE|AP00900	1	DATABASE	DATABASE	DATABASE|AP00900	True	False
DATABASE|AP00902	1	DATABASE	DATABASE	DATABASE|AP00902	True	False
DATABASE|AP00903	1	DATABASE	DATABASE	DATABASE|AP00903	True	False
DATABASE|AP00904	1	DATABASE	DATABASE	DATABASE|AP00904	True	False
DATABASE|AP00905	1	DATABASE	DATABASE	DATABASE|AP00905	True	False
DATABASE|AP00906	1	DATABASE	DATABASE	DATABASE|AP00906	True	False
DATABASE|AP00910	2	DATABASE	DATABASE	DATABASE|AP00910;DATABASE|CAMPSQ11221_Plasticin-TR	True	False
DATABASE|AP00968	16	DATABASE	DATABASE	DATABASE|AP00968;DATABASE|AP00161;DATABASE|AP03505;DATABASE|sp|P86684|DMS6_PHAJA_Dermaseptin-J6_OS=Phasmahyla_jandaia_OX=762504_PE=1_SV=1;DATABASE|sp|C0HLC1|DRS12_PHYTB_Dermaseptin-1.2TR_OS=Phyllomedusa_trinitatis_OX=332092_PE=1_SV=1;DATABASE|CAMPSQ4507_Dermaseptin-1;DATABASE|sp|P86683|DMS5_PHAJA_Dermaseptin-J5_OS=Phasmahyla_jandaia_OX=762504_PE=1_SV=1;DATABASE|AP00937;DATABASE|sp|C0HLC3|DRS9_PHYTB_Dermaseptin-9TR_OS=Phyllomedusa_trinitatis_OX=332092_PE=1_SV=1;DATABASE|AP00967;DATABASE|AP00763;DATABASE|AP01351;DATABASE|AP01352;DATABASE|AP00953;DATABASE|AP00947;DATABASE|AP00949	True	False
DATABASE|AP00969	3	DATABASE	DATABASE	DATABASE|AP00969;DATABASE|AP00940;DATABASE|AP00941	True	False
DATABASE|AP00973	5	DATABASE	DATABASE	DATABASE|AP00973;DATABASE|CAMPSQ11803_Medusin-PT1;DATABASE|AP02176;DATABASE|AP02177;DATABASE|AP02995	True	False
DATABASE|AP00977	1	DATABASE	DATABASE	DATABASE|AP00977	True	False
DATABASE|AP00994	2	DATABASE	DATABASE	DATABASE|AP00994;DATABASE|CAMPSQ903_DefensinD6	True	False
DATABASE|AP00996	1	DATABASE	DATABASE	DATABASE|AP00996	True	False
DATABASE|AP00999	1	DATABASE	DATABASE	DATABASE|AP00999	True	False
DATABASE|AP01008	1	DATABASE	DATABASE	DATABASE|AP01008	True	False
DATABASE|AP01011	3	DATABASE	DATABASE	DATABASE|AP01011;DATABASE|CAMPSQ13751_Ltc2a_N-trim;DATABASE|AP01017	True	False
DATABASE|AP01034	1	DATABASE	DATABASE	DATABASE|AP01034	True	False
DATABASE|AP01070	1	DATABASE	DATABASE	DATABASE|AP01070	True	False
DATABASE|AP01129	1	DATABASE	DATABASE	DATABASE|AP01129	True	False
DATABASE|AP01132	1	DATABASE	DATABASE	DATABASE|AP01132	True	False
DATABASE|AP01142	1	DATABASE	DATABASE	DATABASE|AP01142	True	False
DATABASE|AP01154	1	DATABASE	DATABASE	DATABASE|AP01154	True	False
DATABASE|AP01160	1	DATABASE	DATABASE	DATABASE|AP01160	True	False
DATABASE|AP01187	1	DATABASE	DATABASE	DATABASE|AP01187	True	False
DATABASE|AP01198	1	DATABASE	DATABASE	DATABASE|AP01198	True	False
DATABASE|AP01223	1	DATABASE	DATABASE	DATABASE|AP01223	True	False
DATABASE|AP01235	1	DATABASE	DATABASE	DATABASE|AP01235	True	False
DATABASE|AP01242	1	DATABASE	DATABASE	DATABASE|AP01242	True	False
DATABASE|AP01243	2	DATABASE	DATABASE	DATABASE|AP01243;DATABASE|AP01244	True	False
DATABASE|AP01247	1	DATABASE	DATABASE	DATABASE|AP01247	True	False
DATABASE|AP01248	1	DATABASE	DATABASE	DATABASE|AP01248	True	False
DATABASE|AP01249	1	DATABASE	DATABASE	DATABASE|AP01249	True	False
DATABASE|AP01261	1	DATABASE	DATABASE	DATABASE|AP01261	True	False
DATABASE|AP01262	1	DATABASE	DATABASE	DATABASE|AP01262	True	False
DATABASE|AP01263	1	DATABASE	DATABASE	DATABASE|AP01263	True	False
DATABASE|AP01264	1	DATABASE	DATABASE	DATABASE|AP01264	True	False
DATABASE|AP01265	1	DATABASE	DATABASE	DATABASE|AP01265	True	False
DATABASE|AP01266	1	DATABASE	DATABASE	DATABASE|AP01266	True	False
DATABASE|AP01269	1	DATABASE	DATABASE	DATABASE|AP01269	True	False
DATABASE|AP01296	1	DATABASE	DATABASE	DATABASE|AP01296	True	False
DATABASE|AP01302	1	DATABASE	DATABASE	DATABASE|AP01302	True	False
DATABASE|AP01306	1	DATABASE	DATABASE	DATABASE|AP01306	True	False
DATABASE|AP01307	2	DATABASE	DATABASE	DATABASE|AP01307;DATABASE|AP01942	True	False
DATABASE|AP01308	1	DATABASE	DATABASE	DATABASE|AP01308	True	False
DATABASE|AP01326	1	DATABASE	DATABASE	DATABASE|AP01326	True	False
DATABASE|AP01329	1	DATABASE	DATABASE	DATABASE|AP01329	True	False
DATABASE|AP01332	4	DATABASE	DATABASE	DATABASE|AP01332;DATABASE|AP01333;DATABASE|AP03477;DATABASE|AP03479	True	False
DATABASE|AP01343	1	DATABASE	DATABASE	DATABASE|AP01343	True	False
DATABASE|AP01347	1	DATABASE	DATABASE	DATABASE|AP01347	True	False
DATABASE|AP01348	1	DATABASE	DATABASE	DATABASE|AP01348	True	False
DATABASE|AP01353	1	DATABASE	DATABASE	DATABASE|AP01353	True	False
DATABASE|AP01354	1	DATABASE	DATABASE	DATABASE|AP01354	True	False
DATABASE|AP01355	1	DATABASE	DATABASE	DATABASE|AP01355	True	False
DATABASE|AP01381	1	DATABASE	DATABASE	DATABASE|AP01381	True	False
DATABASE|AP01383	4	DATABASE	DATABASE	DATABASE|AP01383;DATABASE|AP01385;DATABASE|AP01387;DATABASE|AP01388	True	False
