cluster_id	cluster_size	rep	sources	members	has_DATABASE	has_PRED
1004	6	PRED|XP_032824751.2	PRED	PRED|XP_032824751.2;PRED|XP_075929218.1;PRED|XP_075929280.1;PRED|XP_075929281.1;PRED|XP_008108287.1;PRED|XP_009052071.1	False	True
10040	1	PRED|XP_031740117.1	PRED	PRED|XP_031740117.1	False	True
10041	1	PRED|XP_005535071.1	PRED	PRED|XP_005535071.1	False	True
10042	2	PRED|NP_001135739.1	PRED	PRED|NP_001135739.1;PRED|NP_001166147.1	False	True
10043	8	PRED|NP_852104.3	PRED	PRED|XP_007896209.1;PRED|NP_852104.3;PRED|XP_006006072.1;PRED|XP_040058889.1;PRED|XP_003973604.1;PRED|XP_029683035.1;PRED|NP_001107550.1;PRED|XP_012809671.1	False	True
10044	1	PRED|XP_021322185.2	PRED	PRED|XP_021322185.2	False	True
10045	1	PRED|XP_638755.1	PRED	PRED|XP_638755.1	False	True
10046	1	PRED|XP_638979.1	PRED	PRED|XP_638979.1	False	True
10047	1	PRED|XP_642383.1	PRED	PRED|XP_642383.1	False	True
10048	2	PRED|NP_001245951.1	PRED	PRED|NP_001245951.1;PRED|NP_001260288.1	False	True
10049	1	PRED|NP_001246643.1	PRED	PRED|NP_001246643.1	False	True
1005	1	PRED|XP_052307885.1	PRED	PRED|XP_052307885.1	False	True
10050	1	PRED|NP_001261150.1	PRED	PRED|NP_001261150.1	False	True
10051	2	PRED|NP_001262958.1	PRED	PRED|NP_001262958.1;PRED|NP_996295.1	False	True
10052	2	PRED|NP_001287059.1	PRED	PRED|NP_001287059.1;PRED|NP_652430.1	False	True
10053	1	PRED|XP_003545632.2	PRED	PRED|XP_003545632.2	False	True
10054	2	PRED|XP_014626456.1	PRED	PRED|XP_014626456.1;PRED|XP_040868208.1	False	True
10055	1	PRED|XP_040871285.1	PRED	PRED|XP_040871285.1	False	True
10056	1	PRED|WP_001093079.1	PRED	PRED|WP_001093079.1	False	True
10057	3	PRED|NP_055286.1	PRED	PRED|NP_055286.1;PRED|NP_035593.2;PRED|NP_001373445.1	False	True
10058	1	PRED|WP_011998658.1	PRED	PRED|WP_011998658.1	False	True
10059	1	PRED|WP_002890221.1	PRED	PRED|WP_002890221.1	False	True
1006	32	PRED|XP_042196533.1	DATABASE;PRED	PRED|XP_042196533.1;PRED|XP_012823786.1;PRED|XP_011438455.3;DATABASE|Training_Seq1043;DATABASE|sp|O75594|PGRP1_HUMAN_Peptidoglycan_recognition_protein_1_OS=Homo_sapiens_OX=9606_GN=PGLYRP1_PE=1_SV=1;PRED|NP_005082.1;PRED|NP_001037560.1;DATABASE|sp|Q9GK12|PGRP1_CAMDR_Peptidoglycan_recognition_protein_1_OS=Camelus_dromedarius_OX=9838_GN=PGLYRP1_PE=1_SV=1;DATABASE|sp|Q8SPP7|PGRP1_BOVIN_Peptidoglycan_recognition_protein_1_OS=Bos_taurus_OX=9913_GN=PGLYRP1_PE=1_SV=1;DATABASE|sp|B5T255|PGRP1_BOSIN_Peptidoglycan_recognition_protein_1_OS=Bos_indicus_OX=9915_GN=PGLYRP1_PE=3_SV=1;PRED|XP_061499617.1;PRED|XP_316359.1;PRED|XP_316360.1;PRED|XP_008193407.1;PRED|XP_005100262.1;PRED|NP_001286209.1;PRED|NP_610407.1;PRED|NP_610409.1;PRED|NP_610410.1;DATABASE|sp|Q9JLN4|PGRP1_RAT_Peptidoglycan_recognition_protein_1_OS=Rattus_norvegicus_OX=10116_GN=Pglyrp1_PE=1_SV=1;PRED|NP_445825.1;DATABASE|sp|O88593|PGRP1_MOUSE_Peptidoglycan_recognition_protein_1_OS=Mus_musculus_OX=10090_GN=Pglyrp1_PE=1_SV=1;PRED|NP_033428.1;PRED|NP_001015775.1;PRED|NP_001025626.1;PRED|XP_012823787.1;PRED|XP_031746351.1;PRED|XP_032818734.2;PRED|XP_009050887.1;DATABASE|CAMPSQ11538_ApPGRP;PRED|XP_005991683.2;PRED|XP_009053114.1	True	True
10060	9	PRED|XP_064422913.1	DATABASE;PRED	PRED|XP_064422913.1;DATABASE|CAMPSQ10890_LEAP2C;DATABASE|Training_Seq3263;PRED|XP_007889647.2;PRED|NP_001106385.1;DATABASE|Training_Seq3047;DATABASE|sp|Q969E1|LEAP2_HUMAN_Liver-expressed_antimicrobial_peptide_2_OS=Homo_sapiens_OX=9606_GN=LEAP2_PE=1_SV=1;DATABASE|sp|Q95JC3|LEAP2_BOVIN_Liver-expressed_antimicrobial_peptide_2_OS=Bos_taurus_OX=9913_GN=LEAP2_PE=3_SV=1;PRED|NP_443203.1	True	True
10061	1	PRED|XP_009047513.1	PRED	PRED|XP_009047513.1	False	True
10062	1	PRED|XP_009049358.1	PRED	PRED|XP_009049358.1	False	True
10063	1	PRED|XP_009056961.1	PRED	PRED|XP_009056961.1	False	True
10064	1	PRED|XP_009064029.1	PRED	PRED|XP_009064029.1	False	True
10065	1	PRED|XP_008364429.1	PRED	PRED|XP_008364429.1	False	True
10066	1	PRED|XP_003598580.1	PRED	PRED|XP_003598580.1	False	True
10067	1	PRED|XP_013467127.1	PRED	PRED|XP_013467127.1	False	True
10068	1	PRED|WP_011171569.1	PRED	PRED|WP_011171569.1	False	True
10069	1	PRED|WP_424353533.1	PRED	PRED|WP_424353533.1	False	True
1007	4	PRED|XP_065943888.1	PRED	PRED|XP_065943888.1;PRED|XP_065943864.1;PRED|XP_009059750.1;PRED|XP_009059749.1	False	True
10070	2	PRED|NP_001371046.1	PRED	PRED|NP_001371046.1;PRED|XP_063135268.1	False	True
10071	1	PRED|NP_001371083.1	PRED	PRED|NP_001371083.1	False	True
10072	1	PRED|NP_001388428.1	PRED	PRED|NP_001388428.1	False	True
10073	3	PRED|XP_032238249.1	PRED	PRED|XP_032238249.1;PRED|XP_032238250.1;PRED|XP_032238251.1	False	True
10074	1	PRED|XP_011393351.1	PRED	PRED|XP_011393351.1	False	True
10075	1	PRED|XP_957036.2	PRED	PRED|XP_957036.2	False	True
10076	1	PRED|XP_014771607.1	PRED	PRED|XP_014771607.1	False	True
10077	1	PRED|XP_024377091.1	PRED	PRED|XP_024377091.1	False	True
10078	1	PRED|XP_073392726.1	PRED	PRED|XP_073392726.1	False	True
10079	1	PRED|XP_006378721.1	PRED	PRED|XP_006378721.1	False	True
1008	1	PRED|XP_016869648.1	PRED	PRED|XP_016869648.1	False	True
10080	1	PRED|XP_024459339.1	PRED	PRED|XP_024459339.1	False	True
10081	2	PRED|YP_001109551.1	PRED	PRED|YP_001109551.1;PRED|YP_001109568.1	False	True
10082	3	PRED|WP_003106504.1	PRED	PRED|WP_003106504.1;PRED|WP_003229076.1;PRED|WP_002214730.1	False	True
10083	3	PRED|NP_001002816.2	PRED	PRED|NP_001002816.2;PRED|NP_115955.1;PRED|NP_001001803.2	False	True
10084	2	PRED|NP_001008870.1	PRED	PRED|NP_899107.1;PRED|NP_001008870.1	False	True
10085	1	PRED|XP_063120417.1	PRED	PRED|XP_063120417.1	False	True
10086	1	PRED|XP_002446587.1	PRED	PRED|XP_002446587.1	False	True
10087	7	PRED|XP_021321510.1	DATABASE;PRED	PRED|XP_021321510.1;DATABASE|Training_Seq73;PRED|NP_001146963.1;PRED|XP_003573541.1;DATABASE|AP01528;DATABASE|DBAASPR_1925_Defensin-like_protein_1_/_SI_alpha-1;DATABASE|sp|P81009|DEF2_MAIZE_Defensin-like_protein_2_OS=Zea_mays_OX=4577_PE=1_SV=1	True	True
10088	1	PRED|WP_001789307.1	PRED	PRED|WP_001789307.1	False	True
10089	1	PRED|WP_011278769.1	PRED	PRED|WP_011278769.1	False	True
1009	1	PRED|XP_002978095.2	PRED	PRED|XP_002978095.2	False	True
10090	1	PRED|XP_001013381.1	PRED	PRED|XP_001013381.1	False	True
10091	1	PRED|XP_012653520.1	PRED	PRED|XP_012653520.1	False	True
10092	2	PRED|XP_002369244.1	PRED	PRED|XP_002369244.1;PRED|XP_001349269.1	False	True
10093	1	PRED|XP_018635602.1	PRED	PRED|XP_018635602.1	False	True
10094	1	PRED|NP_001159497.2	PRED	PRED|NP_001159497.2	False	True
10095	1	PRED|WP_000799238.1	PRED	PRED|WP_000799238.1	False	True
10096	1	PRED|WP_002209684.1	PRED	PRED|WP_002209684.1	False	True
10097	1	PRED|XP_008665605.1	PRED	PRED|XP_008665605.1	False	True
10098	1	DATABASE|CAMPSQ3967_Turmerin	DATABASE	DATABASE|CAMPSQ3967_Turmerin	True	False
10099	16	DATABASE|Training_Seq77	DATABASE	DATABASE|Training_Seq77;DATABASE|Training_Seq23;DATABASE|Training_Seq24;DATABASE|Training_Seq143;DATABASE|Training_Seq144;DATABASE|Training_Seq145;DATABASE|Training_Seq146;DATABASE|Training_Seq1423;DATABASE|Training_Seq1424;DATABASE|Training_Seq1786;DATABASE|Training_Seq1844;DATABASE|Training_Seq2531;DATABASE|Training_Seq2532;DATABASE|Training_Seq2497;DATABASE|AP02301;DATABASE|DBAASPR_1975_Esculentin-1LTa	True	False
101	1	PRED|NP_001108116.1	PRED	PRED|NP_001108116.1	False	True
1010	2	PRED|XP_011421448.3	PRED	PRED|XP_011421448.3;PRED|XP_034320417.2	False	True
10100	2	DATABASE|Training_Seq916	DATABASE	DATABASE|Training_Seq916;DATABASE|CAMPSQ909_Antifungalprotein	True	False
10101	2	DATABASE|Training_Seq2802	DATABASE	DATABASE|Training_Seq2802;DATABASE|AP02557	True	False
10102	16	DATABASE|Training_Seq2937	DATABASE;PRED	DATABASE|Training_Seq2937;DATABASE|Training_Seq2935;DATABASE|sp|Q8K4N3|DFB12_MOUSE_Beta-defensin_12_OS=Mus_musculus_OX=10090_GN=Defb12_PE=2_SV=2;DATABASE|sp|Q8NG35|D105A_HUMAN_Beta-defensin_105_OS=Homo_sapiens_OX=9606_GN=DEFB105A_PE=1_SV=1;DATABASE|sp|A4H206|D105A_GORGO_Beta-defensin_105A_OS=Gorilla_gorilla_gorilla_OX=9595_GN=DEFB105A_PE=3_SV=1;DATABASE|sp|A4H207|D105A_PONPY_Beta-defensin_105A_OS=Pongo_pygmaeus_OX=9600_GN=DEFB105A_PE=3_SV=1;DATABASE|sp|A4H208|D105A_HYLLA_Beta-defensin_105A_OS=Hylobates_lar_OX=9580_GN=DEFB105A_PE=3_SV=1;DATABASE|sp|A4H209|D105B_MACFA_Beta-defensin_105A_OS=Macaca_fascicularis_OX=9541_GN=DEFB105A_PE=3_SV=1;DATABASE|sp|Q32ZH9|DFB12_RAT_Beta-defensin_12_OS=Rattus_norvegicus_OX=10116_GN=Defb12_PE=3_SV=1;PRED|NP_001035793.1;PRED|NP_689463.1;PRED|NP_690015.2;PRED|NP_001032603.1;PRED|NP_001395922.1;DATABASE|AP02819;DATABASE|AP02821	True	True
10103	6	DATABASE|Training_Seq3037	DATABASE	DATABASE|Training_Seq3037;DATABASE|Training_Seq3631;DATABASE|AP02619;DATABASE|AP02121;DATABASE|AP03010;DATABASE|sp|P0CF77|DEF_TITDI_Tddefensin_OS=Tityus_discrepans_OX=57059_PE=3_SV=1	True	False
10104	9	DATABASE|Training_Seq3173	DATABASE	DATABASE|Training_Seq3173;DATABASE|sp|E6ZBE2|KASSO_KASSE_Kassorin-S_OS=Kassina_senegalensis_OX=8415_PE=1_SV=1;DATABASE|sp|L0P323|SENEG_KASSE_Senegalin_OS=Kassina_senegalensis_OX=8415_PE=1_SV=1;DATABASE|Training_Seq2359;DATABASE|Training_Seq2360;DATABASE|Training_Seq2361;DATABASE|Training_Seq2362;DATABASE|Training_Seq161;DATABASE|AP03219	True	False
10105	9	DATABASE|sp|Q5U9D2|HEPC_CANLF_Hepcidin_OS=Canis_lupus_familiaris_OX=9615_GN=HAMP_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|Q5U9D2|HEPC_CANLF_Hepcidin_OS=Canis_lupus_familiaris_OX=9615_GN=HAMP_PE=3_SV=1;DATABASE|Training_Seq1506;DATABASE|sp|P81172|HEPC_HUMAN_Hepcidin_OS=Homo_sapiens_OX=9606_GN=HAMP_PE=1_SV=2;DATABASE|sp|Q5NVR8|HEPC_PONAB_Hepcidin_OS=Pongo_abelii_OX=9601_GN=HAMP_PE=3_SV=1;PRED|NP_066998.1;DATABASE|sp|Q8MJ80|HEPC_PIG_Hepcidin_OS=Sus_scrofa_OX=9823_GN=HAMP_PE=3_SV=1;DATABASE|AP00193;DATABASE|AP01682;DATABASE|CAMPSQ12607_HepcidinpHepc	True	True
10106	2	DATABASE|sp|P82795|DEF76_ARATH_Defensin-like_protein_76_OS=Arabidopsis_thaliana_OX=3702_GN=LCR86_PE=2_SV=1	DATABASE;PRED	DATABASE|sp|P82795|DEF76_ARATH_Defensin-like_protein_76_OS=Arabidopsis_thaliana_OX=3702_GN=LCR86_PE=2_SV=1;PRED|NP_001032040.1	True	True
10107	2	DATABASE|sp|Q2V470|DEF79_ARATH_Putative_defensin-like_protein_79_OS=Arabidopsis_thaliana_OX=3702_GN=At2g21725_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|Q2V470|DEF79_ARATH_Putative_defensin-like_protein_79_OS=Arabidopsis_thaliana_OX=3702_GN=At2g21725_PE=3_SV=1;PRED|NP_001031392.1	True	True
10108	7	DATABASE|sp|Q30KP5|DFB18_MOUSE_Beta-defensin_18_OS=Mus_musculus_OX=10090_GN=Defb18_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|Q30KP5|DFB18_MOUSE_Beta-defensin_18_OS=Mus_musculus_OX=10090_GN=Defb18_PE=3_SV=1;DATABASE|sp|Q32ZH4|DFB18_RAT_Beta-defensin_18_OS=Rattus_norvegicus_OX=10116_GN=Defb18_PE=3_SV=1;PRED|NP_001034212.1;PRED|NP_001032619.1;DATABASE|sp|Q30KL4|DB113_PANTR_Beta-defensin_113_OS=Pan_troglodytes_OX=9598_GN=DEFB113_PE=3_SV=1;DATABASE|sp|Q30KQ7|DB113_HUMAN_Beta-defensin_113_OS=Homo_sapiens_OX=9606_GN=DEFB113_PE=3_SV=1;PRED|NP_001032818.1	True	True
10109	2	DATABASE|sp|Q9M1V4|DEF11_ARATH_Defensin-like_protein_11_OS=Arabidopsis_thaliana_OX=3702_GN=At3g63360_PE=3_SV=1	DATABASE;PRED	DATABASE|sp|Q9M1V4|DEF11_ARATH_Defensin-like_protein_11_OS=Arabidopsis_thaliana_OX=3702_GN=At3g63360_PE=3_SV=1;PRED|NP_191895.1	True	True
1011	1	PRED|XP_063136868.1	PRED	PRED|XP_063136868.1	False	True
10110	1	PRED|XP_016853174.1	PRED	PRED|XP_016853174.1	False	True
10111	1	PRED|XP_062827834.1	PRED	PRED|XP_062827834.1	False	True
10112	1	PRED|XP_026296430.1	PRED	PRED|XP_026296430.1	False	True
10113	6	PRED|NP_001031090.1	PRED	PRED|NP_001031090.1;PRED|XP_015166147.1;PRED|NP_001031089.1;PRED|NP_564227.1;PRED|XP_006351824.1;PRED|NP_001351343.1	False	True
10114	1	PRED|NP_001031375.1	PRED	PRED|NP_001031375.1	False	True
10115	1	PRED|NP_566898.1	PRED	PRED|NP_566898.1	False	True
10116	1	PRED|NP_974132.1	PRED	PRED|NP_974132.1	False	True
10117	1	PRED|XP_753267.2	PRED	PRED|XP_753267.2	False	True
10118	1	PRED|XP_050467843.1	PRED	PRED|XP_050467843.1	False	True
10119	1	PRED|XP_659421.1	PRED	PRED|XP_659421.1	False	True
1012	1	PRED|XP_001471156.1	PRED	PRED|XP_001471156.1	False	True
10120	2	PRED|WP_003246519.1	PRED	PRED|WP_003246519.1;PRED|WP_000466743.1	False	True
10121	1	PRED|WP_005777530.1	PRED	PRED|WP_005777530.1	False	True
10122	2	PRED|WP_008661762.1	PRED	PRED|WP_008661762.1;PRED|WP_005799093.1	False	True
10123	1	PRED|NP_001024125.1	PRED	PRED|NP_001024125.1	False	True
10124	1	PRED|NP_001033477.2	PRED	PRED|NP_001033477.2	False	True
10125	2	PRED|NP_001251601.1	PRED	PRED|NP_001251601.1;PRED|NP_001251602.1	False	True
10126	2	PRED|NP_001255311.1	PRED	PRED|NP_001255311.1;PRED|NP_001294560.1	False	True
10127	2	PRED|NP_001300173.1	PRED	PRED|NP_001300173.1;PRED|NP_001023677.1	False	True
10128	1	PRED|NP_001333555.1	PRED	PRED|NP_001333555.1	False	True
10129	1	PRED|NP_001368663.1	PRED	PRED|NP_001368663.1	False	True
1013	1	PRED|XP_059597274.1	PRED	PRED|XP_059597274.1	False	True
10130	1	PRED|NP_491253.1	PRED	PRED|NP_491253.1	False	True
10131	1	PRED|NP_491699.2	PRED	PRED|NP_491699.2	False	True
10132	1	PRED|NP_498259.1	PRED	PRED|NP_498259.1	False	True
10133	1	PRED|NP_500153.1	PRED	PRED|NP_500153.1	False	True
10134	1	PRED|NP_503447.1	PRED	PRED|NP_503447.1	False	True
10135	1	PRED|NP_508789.1	PRED	PRED|NP_508789.1	False	True
10136	1	PRED|WP_002870410.1	PRED	PRED|WP_002870410.1	False	True
10137	1	PRED|WP_250487999.1	PRED	PRED|WP_250487999.1	False	True
10138	1	PRED|XP_042916730.1	PRED	PRED|XP_042916730.1	False	True
10139	1	PRED|XP_042920442.1	PRED	PRED|XP_042920442.1	False	True
1014	2	PRED|XP_009066715.1	PRED	PRED|XP_009066715.1;PRED|XP_009045670.1	False	True
10140	22	PRED|XP_042925404.1	PRED	PRED|XP_042925404.1;PRED|XP_042926751.1;PRED|XP_042927351.1;PRED|XP_042914444.1;PRED|XP_042915353.1;PRED|XP_042918319.1;PRED|XP_042927505.1;PRED|XP_042927506.1;PRED|XP_042916010.1;PRED|XP_042917232.1;PRED|XP_042917358.1;PRED|XP_042917927.1;PRED|XP_042918275.1;PRED|XP_042919175.1;PRED|XP_042920893.1;PRED|XP_042924105.1;PRED|XP_042924889.1;PRED|XP_042925433.1;PRED|XP_042925982.1;PRED|XP_042926796.1;PRED|XP_042927504.1;PRED|XP_042928092.1	False	True
10141	1	PRED|XP_042926275.1	PRED	PRED|XP_042926275.1	False	True
10142	1	PRED|XP_042926779.1	PRED	PRED|XP_042926779.1	False	True
10143	1	PRED|WP_003425410.1	PRED	PRED|WP_003425410.1	False	True
10144	1	PRED|WP_231299013.1	PRED	PRED|WP_231299013.1	False	True
10145	1	PRED|XP_002911554.1	PRED	PRED|XP_002911554.1	False	True
10146	1	PRED|XP_635470.2	PRED	PRED|XP_635470.2	False	True
10147	1	PRED|XP_637695.1	PRED	PRED|XP_637695.1	False	True
10148	1	PRED|XP_641239.1	PRED	PRED|XP_641239.1	False	True
10149	1	PRED|XP_641779.1	PRED	PRED|XP_641779.1	False	True
1015	1	PRED|XP_001634060.2	PRED	PRED|XP_001634060.2	False	True
10150	1	PRED|NP_001285519.1	PRED	PRED|NP_001285519.1	False	True
10151	1	PRED|NP_608451.1	PRED	PRED|NP_608451.1	False	True
10152	1	PRED|NP_608970.2	PRED	PRED|NP_608970.2	False	True
10153	1	PRED|NP_723127.1	PRED	PRED|NP_723127.1	False	True
10154	4	PRED|XP_040538569.2	DATABASE;PRED	PRED|XP_040538569.2;PRED|XP_003223512.1;DATABASE|AP03038;DATABASE|AP03286	True	True
10155	1	PRED|XP_046790311.1	PRED	PRED|XP_046790311.1	False	True
10156	1	PRED|XP_040043997.1	PRED	PRED|XP_040043997.1	False	True
10157	5	PRED|XP_003520955.1	PRED	PRED|XP_003520955.1;PRED|XP_003516905.1;PRED|XP_013454919.1;PRED|XP_003529129.1;PRED|XP_003552207.1	False	True
10158	2	PRED|XP_003525094.1	PRED	PRED|XP_003525094.1;PRED|XP_007022156.2	False	True
